,Date,Open,High,Low,Close,Volume,Yield,PercentageVolume,SMA6,EMA6,WMA6,HMA6,SMA20,EMA20,WMA20,HMA20,SMA50,EMA50,WMA50,HMA50,SMA100,EMA100,WMA100,HMA100,MACD,CCI,Stochastic Oscillator,RSI,ROC,PPO,KST,BOLU,BOLD,BOLM
262,2012-10-17 22:45,1.31094,1.31134,1.31087,1.31121,742,0.000206,0.006334,1.311363,1.311349,1.311267,1.311008,1.311988,1.3118,1.311727,1.311202,1.312208,1.3117,1.312104,1.311778,1.311087,1.310226,1.311665,1.312776,-0.00027,-93.008968,19.318182,33.405767,-0.082299,-0.020573,-0.30114,1.313633,1.310358,1.311996
263,2012-10-17 23:00,1.31124,1.31126,1.31091,1.31112,615,-9.2e-05,0.005691,1.311278,1.311284,1.311198,1.311026,1.311921,1.311735,1.311644,1.311098,1.312186,1.311678,1.312061,1.311673,1.311113,1.310244,1.311665,1.3127,-0.000288,-84.975159,15.243902,31.339628,-0.074689,-0.021966,-0.369914,1.313565,1.31029,1.311928
264,2012-10-17 23:15,1.31112,1.31122,1.31086,1.3109,571,-0.000168,0.006305,1.31118,1.311174,1.31109,1.310986,1.311847,1.311656,1.311547,1.310996,1.312173,1.311647,1.312011,1.311563,1.311135,1.310257,1.311661,1.312619,-0.000317,-84.028196,2.424242,26.684558,-0.080034,-0.024145,-0.436051,1.313498,1.310223,1.31186
265,2012-10-17 23:30,1.31091,1.31106,1.31083,1.31098,503,5.3e-05,0.004573,1.31108,1.311119,1.311032,1.310934,1.311771,1.311591,1.311465,1.310917,1.312147,1.311621,1.311964,1.311455,1.311154,1.310271,1.311658,1.312535,-0.000329,-76.864529,10.067114,30.985727,-0.066319,-0.025091,-0.502433,1.313428,1.310153,1.311791
266,2012-10-17 23:45,1.31097,1.31127,1.31093,1.3112,260,0.000175,0.013077,1.311055,1.311142,1.311067,1.311031,1.311704,1.311554,1.31141,1.310878,1.312125,1.311604,1.311927,1.311357,1.311168,1.31029,1.311659,1.312451,-0.000318,-51.053226,28.244275,41.816753,-0.047263,-0.024208,-0.567672,1.313363,1.310088,1.311726
267,2012-10-18 00:00,1.3112,1.31159,1.31099,1.31142,908,0.000168,0.006608,1.311138,1.311221,1.311171,1.311279,1.311634,1.311541,1.311383,1.310898,1.312111,1.311597,1.311899,1.311275,1.311189,1.310312,1.311664,1.312371,-0.000287,-27.170973,47.580645,50.737392,-0.022871,-0.021902,-0.626813,1.313293,1.310018,1.311655
268,2012-10-18 00:15,1.3114,1.3114,1.31061,1.3107,715,-0.000534,0.011049,1.311053,1.311072,1.311046,1.311126,1.311536,1.311461,1.311294,1.310885,1.31209,1.311562,1.311844,1.311187,1.311177,1.31032,1.311654,1.312286,-0.000318,-80.72406,6.666667,32.13323,-0.070904,-0.024226,-0.686781,1.313202,1.309927,1.311564
269,2012-10-18 00:30,1.31073,1.31076,1.31013,1.31054,1052,-0.000145,0.005989,1.310957,1.31092,1.310899,1.310721,1.311448,1.311374,1.311199,1.310827,1.312062,1.311522,1.311783,1.311092,1.311168,1.310324,1.311642,1.312197,-0.000351,-121.751099,22.651934,29.371719,-0.072437,-0.026744,-0.748077,1.313107,1.309833,1.31147
270,2012-10-18 00:45,1.31056,1.31065,1.31033,1.3105,734,-4.6e-05,0.00436,1.31089,1.3108,1.310769,1.31041,1.311364,1.31129,1.311109,1.310738,1.312006,1.311482,1.311722,1.31099,1.311167,1.310328,1.311629,1.312104,-0.000376,-105.588544,22.560976,28.661202,-0.082343,-0.028656,-0.802381,1.313021,1.309746,1.311383
271,2012-10-18 01:00,1.31051,1.31063,1.31006,1.31052,943,8e-06,0.006045,1.310813,1.31072,1.310663,1.310355,1.311275,1.311217,1.311029,1.310642,1.31196,1.311444,1.311664,1.310887,1.311172,1.310331,1.311616,1.312009,-0.00039,-106.444271,27.058824,29.643107,-0.063294,-0.029706,-0.846566,1.312927,1.309652,1.311289
272,2012-10-18 01:15,1.31053,1.31091,1.31033,1.31078,851,0.000191,0.006816,1.310743,1.310737,1.310653,1.31055,1.311209,1.311175,1.310982,1.310587,1.31192,1.311418,1.311617,1.310791,1.311178,1.31034,1.311608,1.311915,-0.000375,-67.98038,42.352941,41.683181,-0.01068,-0.028609,-0.883893,1.312852,1.309577,1.311214
273,2012-10-18 01:30,1.31078,1.31109,1.31052,1.31054,734,-0.000183,0.007766,1.310597,1.310681,1.310595,1.310639,1.311138,1.311115,1.310918,1.310539,1.311896,1.311384,1.311563,1.310697,1.311188,1.310344,1.311595,1.31182,-0.000379,-58.551422,29.268293,35.256992,-0.051098,-0.028883,-0.918114,1.31279,1.309515,1.311153
274,2012-10-18 01:45,1.31054,1.31091,1.31042,1.3107,991,0.000122,0.004945,1.310597,1.310686,1.310625,1.310676,1.311081,1.311075,1.310876,1.310516,1.311875,1.311357,1.311516,1.310613,1.3112,1.310351,1.311586,1.311727,-0.000364,-61.313445,41.830065,42.120895,-0.032034,-0.027796,-0.946186,1.312729,1.309454,1.311092
275,2012-10-18 02:00,1.3107,1.31151,1.31065,1.3107,1253,0.0,0.006864,1.310623,1.31069,1.310654,1.310693,1.311025,1.31104,1.31084,1.310508,1.311861,1.311331,1.31147,1.310543,1.311205,1.310358,1.311576,1.311635,-0.000349,-19.056396,41.830065,42.120895,-0.015257,-0.026627,-0.969636,1.312684,1.309409,1.311047
276,2012-10-18 02:15,1.31068,1.31121,1.3104,1.31089,1235,0.00016,0.006559,1.310688,1.310747,1.31073,1.310804,1.310984,1.311025,1.310827,1.310528,1.311827,1.311314,1.311432,1.31049,1.311212,1.310369,1.311569,1.311547,-0.000318,-38.613283,54.248366,50.429547,-0.006865,-0.024251,-0.98774,1.312638,1.309363,1.311001
277,2012-10-18 02:30,1.31087,1.3109,1.31052,1.31072,850,-0.000114,0.004471,1.310722,1.31074,1.31074,1.310825,1.310938,1.310996,1.310802,1.310556,1.311784,1.311291,1.311389,1.310449,1.311215,1.310376,1.31156,1.311461,-0.000304,-58.17236,43.137255,43.920476,-0.036608,-0.023149,-0.996605,1.312595,1.30932,1.310957
278,2012-10-18 02:45,1.31072,1.31106,1.31051,1.31102,479,0.000229,0.011482,1.310762,1.31082,1.310825,1.310917,1.310914,1.310999,1.31081,1.310624,1.311756,1.31128,1.311359,1.310425,1.311229,1.310388,1.311556,1.311382,-0.000265,-28.67543,62.745098,55.591742,-0.030501,-0.020195,-0.989664,1.312561,1.309286,1.310924
279,2012-10-18 03:00,1.31103,1.31107,1.3105,1.31074,536,-0.000221,0.010634,1.310795,1.310797,1.310819,1.310885,1.310872,1.310974,1.310793,1.310686,1.311725,1.311259,1.311319,1.310408,1.311239,1.310395,1.311546,1.311306,-0.000254,-49.802811,44.444444,45.413298,0.003052,-0.019355,-0.972791,1.312521,1.309246,1.310883
